label,City,Zip Code,Latitude,Longitude
Acampo — 95220,Acampo,95220,38.200231,-121.235034
Acton — 93510,Acton,93510,34.501452,-118.207862
Adelanto — 92301,Adelanto,92301,34.667815,-117.536183
Adin — 96006,Adin,96006,41.171578,-120.913161
Agoura Hills — 91301,Agoura Hills,91301,34.129058,-118.759788
Aguanga — 92536,Aguanga,92536,33.482243,-116.827173
Ahwahnee — 93601,Ahwahnee,93601,37.375816,-119.739935
Alameda — 94501,Alameda,94501,37.774633,-122.274434
Alameda — 94502,Alameda,94502,37.724817,-122.224363
Alamo — 94507,Alamo,94507,37.855717,-121.994813
Albany — 94706,Albany,94706,37.890274,-122.295192
Albion — 95410,Albion,95410,39.225694,-123.717354
Alderpoint — 95511,Alderpoint,95511,40.166028,-123.584144
Alhambra — 91801,Alhambra,91801,34.090925,-118.128164
Alhambra — 91803,Alhambra,91803,34.074736,-118.145959
Aliso Viejo — 92656,Aliso Viejo,92656,33.571259,-117.731917
Alleghany — 95910,Alleghany,95910,39.467828,-120.841386
Alpaugh — 93201,Alpaugh,93201,35.869626,-119.498771
Alpine — 91901,Alpine,91901,32.827184,-116.703729
Alta — 95701,Alta,95701,39.218096,-120.79153
Altadena — 91001,Altadena,91001,34.196837,-118.142236
Alturas — 96101,Alturas,96101,41.468877,-120.54229
Alviso — 95002,Alviso,95002,37.449537,-121.994813
Amador City — 95601,Amador City,95601,38.431407,-120.8421
Amboy — 92304,Amboy,92304,34.559882,-115.637164
Anaheim — 92801,Anaheim,92801,33.844983,-117.952151
Anaheim — 92802,Anaheim,92802,33.807864,-117.923782
Anaheim — 92804,Anaheim,92804,33.818,-117.974404
Anaheim — 92805,Anaheim,92805,33.830209,-117.906099
Anaheim — 92806,Anaheim,92806,33.83796,-117.870494
Anaheim — 92807,Anaheim,92807,33.848733,-117.788357
Anaheim — 92808,Anaheim,92808,33.850452,-117.726668
Anderson — 96007,Anderson,96007,40.448632,-122.306657
Angels Camp — 95222,Angels Camp,95222,38.071327,-120.632221
Angelus Oaks — 92305,Angelus Oaks,92305,34.1678,-116.86433
Angwin — 94508,Angwin,94508,38.542448,-122.419923
Annapolis — 95412,Annapolis,95412,38.731055,-123.316553
Antelope — 95843,Antelope,95843,38.715498,-121.363411
Antioch — 94509,Antioch,94509,37.980057,-121.801599
Anza — 92539,Anza,92539,33.527605,-116.666551
Apple Valley — 92307,Apple Valley,92307,34.55082,-117.122396
Apple Valley — 92308,Apple Valley,92308,34.424926,-117.184503
Applegate — 95703,Applegate,95703,38.983388,-120.988814
Aptos — 95003,Aptos,95003,37.013471,-121.877877
Arbuckle — 95912,Arbuckle,95912,38.982373,-122.047751
Arcadia — 91006,Arcadia,91006,34.137319,-118.029837
Arcadia — 91007,Arcadia,91007,34.128284,-118.047732
Arcata — 95521,Arcata,95521,40.839958,-124.003757
Armona — 93202,Armona,93202,36.315979,-119.710852
Arnold — 95223,Arnold,95223,38.32153,-120.236358
Aromas — 95004,Aromas,95004,36.878364,-121.629781
Arroyo Grande — 93420,Arroyo Grande,93420,35.176236,-120.483243
Artesia — 90701,Artesia,90701,33.867593,-118.080637
Arvin — 93203,Arvin,93203,35.116307,-118.817644
Atascadero — 93422,Atascadero,93422,35.453912,-120.69461
Atherton — 94027,Atherton,94027,37.454924,-122.203168
Atwater — 95301,Atwater,95301,37.321233,-120.656354
Auberry — 93602,Auberry,93602,36.991762,-119.242874
Auburn — 95602,Auburn,95602,38.99003,-121.114408
Auburn — 95603,Auburn,95603,38.912881,-121.082766
Avalon — 90704,Avalon,90704,33.391181,-118.421305
Avenal — 93204,Avenal,93204,35.916943,-120.129921
Avery — 95224,Avery,95224,38.208336,-120.339938
Avila Beach — 93424,Avila Beach,93424,35.186644,-120.728305
Azusa — 91702,Azusa,91702,34.174493,-117.87068
Badger — 93603,Badger,93603,36.64545,-118.924982
Baker — 92309,Baker,92309,35.28952,-116.092214
Bakersfield — 93301,Bakersfield,93301,35.383937,-119.020428
Bakersfield — 93304,Bakersfield,93304,35.339796,-119.023552
Bakersfield — 93305,Bakersfield,93305,35.391733,-118.984109
Bakersfield — 93306,Bakersfield,93306,35.449881,-118.841442
Bakersfield — 93307,Bakersfield,93307,35.280113,-118.962329
Bakersfield — 93308,Bakersfield,93308,35.559617,-118.925185
Bakersfield — 93309,Bakersfield,93309,35.342891,-119.064803
Bakersfield — 93311,Bakersfield,93311,35.16207,-119.194488
Bakersfield — 93312,Bakersfield,93312,35.392599,-119.245341
Bakersfield — 93313,Bakersfield,93313,35.140938,-119.051348
Baldwin Park — 91706,Baldwin Park,91706,34.098275,-117.967399
Ballico — 95303,Ballico,95303,37.4695,-120.672724
Bangor — 95914,Bangor,95914,39.396585,-121.38029
Banning — 92220,Banning,92220,33.936298,-116.849577
Barstow — 92311,Barstow,92311,34.965648,-117.001509
Bass Lake — 93604,Bass Lake,93604,37.458367,-119.345011
Bayside — 95524,Bayside,95524,40.825486,-124.049485
Beale Afb — 95903,Beale Afb,95903,39.125311,-121.392283
Beaumont — 92223,Beaumont,92223,33.946982,-116.977672
Bell — 90201,Bell,90201,33.970343,-118.171368
Bella Vista — 96008,Bella Vista,96008,40.722733,-122.109666
Bellflower — 90706,Bellflower,90706,33.887676,-118.127289
Belmont — 94002,Belmont,94002,37.509366,-122.306132
Belvedere Tiburon — 94920,Belvedere Tiburon,94920,37.885629,-122.46858
Ben Lomond — 95005,Ben Lomond,95005,37.078873,-122.090386
Benicia — 94510,Benicia,94510,38.113533,-122.11926
Benton — 93512,Benton,93512,37.653947,-118.231443
Berkeley — 94702,Berkeley,94702,37.866009,-122.286228
Berkeley — 94703,Berkeley,94703,37.863843,-122.275684
Berkeley — 94704,Berkeley,94704,37.871416,-122.246597
Berkeley — 94705,Berkeley,94705,37.858898,-122.240512
Berkeley — 94707,Berkeley,94707,37.897753,-122.279391
Berkeley — 94708,Berkeley,94708,37.897743,-122.263124
Berkeley — 94709,Berkeley,94709,37.878554,-122.26609
Berkeley — 94710,Berkeley,94710,37.872902,-122.303708
Berry Creek — 95916,Berry Creek,95916,39.657228,-121.37778
Bethel Island — 94511,Bethel Island,94511,38.050558,-121.646924
Beverly Hills — 90210,Beverly Hills,90210,34.099891,-118.414338
Beverly Hills — 90211,Beverly Hills,90211,34.063947,-118.383001
Beverly Hills — 90212,Beverly Hills,90212,34.062095,-118.401508
Bieber — 96009,Bieber,96009,41.083464,-121.107929
Big Bar — 96010,Big Bar,96010,40.775272,-123.287414
